id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA
1,1,1,2008/2009,1,"2008-08-17 00:00:00",492473,9987,9993,1,1,1.73,3.4,5,1.75,3.35,4.2,1.85,3.2,3.5,,,
2,1,1,2008/2009,1,"2008-08-16 00:00:00",492474,10000,9994,0,0,1.95,3.2,3.6,1.8,3.3,3.95,1.9,3.2,3.5,,,
3,1,1,2008/2009,1,"2008-08-16 00:00:00",492475,9984,8635,0,3,2.38,3.3,2.75,2.4,3.3,2.55,2.6,3.1,2.3,,,
4,1,1,2008/2009,1,"2008-08-17 00:00:00",492476,9991,9998,5,0,1.44,3.75,7.5,1.4,4,6.8,1.4,3.9,6,,,
5,1,1,2008/2009,1,"2008-08-16 00:00:00",492477,7947,9985,1,3,5,3.5,1.65,5,3.5,1.6,4,3.3,1.7,,,
6,1,1,2008/2009,1,"2008-09-24 00:00:00",492478,8203,8342,1,1,4.75,3.4,1.67,4.85,3.4,1.65,3.7,3.2,1.8,,,
7,1,1,2008/2009,1,"2008-08-16 00:00:00",492479,9999,8571,2,2,2.1,3.2,3.3,2.05,3.25,3.15,1.85,3.2,3.5,,,
8,1,1,2008/2009,1,"2008-08-16 00:00:00",492480,4049,9996,1,2,3.2,3.4,2.2,2.55,3.3,2.4,2.4,3.2,2.4,,,
9,1,1,2008/2009,1,"2008-08-16 00:00:00",492481,10001,9986,1,0,2.25,3.25,2.88,2.3,3.25,2.7,2.1,3.1,3,,,
10,1,1,2008/2009,10,"2008-11-01 00:00:00",492564,8342,8571,4,1,1.3,5.25,9.5,1.25,5,10,1.3,4.2,8,,,
11,1,1,2008/2009,10,"2008-10-31 00:00:00",492565,9985,9986,1,2,1.3,5.25,9.5,1.25,5,10,1.3,4.2,8,,,
12,1,1,2008/2009,10,"2008-11-02 00:00:00",492566,10000,9991,0,2,2.6,3.2,2.5,2.6,3.2,2.4,2.4,3.2,2.4,,,
13,1,1,2008/2009,10,"2008-11-01 00:00:00",492567,9994,9998,0,0,1.91,3.4,4,1.85,3.35,3.8,1.8,3.1,3.8,,,
14,1,1,2008/2009,10,"2008-11-01 00:00:00",492568,7947,10001,2,2,2.9,3.3,2.38,2.75,3.3,2.25,2.5,3.2,2.3,,,
15,1,1,2008/2009,10,"2008-11-01 00:00:00",492569,8203,9999,1,2,1.7,3.3,4.5,1.75,3.45,4,1.7,3.2,4.2,,,
16,1,1,2008/2009,10,"2008-11-01 00:00:00",492570,9996,9984,0,1,2.35,3.3,3,2.35,3.25,2.7,2.2,3.1,2.8,,,
17,1,1,2008/2009,10,"2008-11-01 00:00:00",492571,4049,9987,1,3,6,3.75,1.57,5.1,3.6,1.55,4.6,3.4,1.6,,,
